address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime
0xcf438fb35c4c7131e8846e4ccb5bec3ea60d7591,2,10,1.01e+18,1.527e+19,5.05e+17,1.527e+18,4.95e+17,4.5606089485359073e+18,0.4900990099009901,0.8990265487884742,1247830.4166666667,14973965.0
0x1e217adc6a6adc16e248af109ab7efa4d1bb252d,1,433,1000000000000000.0,1.189058293292071e+19,1000000000000000.0,2.7460930561017804e+16,0.0,1.3640485168260374e+17,0.0,0.9044825724619866,15929.02534562212,6913197.0
0xc90044e0c8ff4142d2b39d4eb9ef17c3e3dc50d7,50,53,1.64e+17,3.908210429050589e+19,3280000000000000.0,7.373981941604886e+17,1371714255958579.8,2.2703454226639747e+18,0.08195121951219513,0.8429068021017221,190533.39805825244,19624940.0
0xcfcd43d7ee21416a71c2eb9888587d52716fc77a,832,57,8.315e+19,3.3023568521794227e+21,9.993990384615384e+16,5.793608512595478e+19,1732396070360525.5,4.170217867682994e+19,0.0006006001665201953,0.40230116998462595,23444.14848143982,20841848.0
0xe7fe07e428a1fa4cdebacd6f5df8dd053966c4a8,1285,2,4.559e+19,2.658e+19,3.5478599221789884e+16,1.329e+19,1.4226798481420965e+17,5.43e+18,0.5250291252689552,0.20428893905191872,16830.891996891998,21661358.0
0x22365168c8705e95b2d08876c23a8c13e3ad72e2,4,3,8.000000001e+16,1.51e+18,2.00000000025e+16,5.033333333333333e+17,1.7320508080018902e+16,6.69920728434532e+17,0.375000000046875,0.636580653558102,3525119.4285714286,24675836.0
0x94cac9b8a8e597e5a934b91c0e5a06fe863bde13,463,361,2.681059413920737e+20,5.977910991164434e+19,5.790625084062067e+17,1.6559310224832227e+17,1.5475291305157071e+18,4.1733894218392365e+17,0.8094059794791673,0.7703195520261187,54504.91747572816,44912052.0
0xa577db7575a197ea811a31bb7600fc47d3a44df7,48,98,3.9175e+18,1.5630536432894116e+19,8.161458333333333e+16,1.5949526972340934e+17,1.1155329628624333e+17,4.2417191149334496e+17,0.5623936396511381,0.8265760621018544,54412.260273972606,7944190.0
0x8b350ecb6a483471e5daa6f83e688c1890ad0dc2,530,2,1.0858252168653131e+20,6.331e+19,2.0487268242741757e+17,3.1655e+19,2.83483006659122e+17,3.133845e+19,0.6320897253189116,0.495,5862.105263157895,3118640.0
0xd8a5b0d3cb3b00113a0cd96856926dc555d9e752,180,1,1.94e+17,2.584e+19,1077777777777777.8,2.584e+19,572087362749155.6,0.0,0.07096219931271477,0.0,89371.77900552486,16176292.0
0x365ec7b439abcc8a3a2c4289f0868a4adcd996e9,137,72,4.428033e+18,7.5197e+19,3.232140875912409e+16,1.0444027777777778e+18,4.305106004079151e+16,2.613457300267229e+18,0.4924307487860673,0.7695601828779626,48020.387559808616,10036261.0
0x214c1c9962761be484e365a14d9bca3739020517,11,9,1.527e+19,4.98e+16,1.388181818181818e+18,5533333333333333.0,3.9979467870891796e+18,6497007858323023.0,0.8848008572959457,0.5992860330209728,225751.25,4515025.0
0xe65f525ec48c7e95654b9824ecc358454ea9185e,1876,1199,3.94902099828405e+19,1.1820264180313588e+20,2.105021854095975e+16,9.858435513188981e+16,6.3085871260906136e+16,1.155809303566551e+17,0.7677819318485255,0.5109873352107828,17450.696910569106,53660893.0
0x4fac33dabfd83d160717dfee4175d9caaa249ca5,1230,17884,1.224063341e+20,1.7293877333333334e+20,9.951734479674797e+16,9670027585178558.0,6894132827454569.0,5.884365735134915e+16,0.004826432864635874,0.6915580195157679,1896.5560845453595,36250773.0
0xa777166242ee46c33994d401e948418ac3992a1f,7,11,3.78e+18,9.2e+16,5.4e+17,8363636363636364.0,3.075711299845939e+17,2.3288009896912136e+16,0.3000755857898715,0.8191699604743083,952431.3888888889,17143765.0
0xb9846a7d15d188263f99f2da6d1fdab2febdb0a2,15525,11401,9.8310398071e+21,2.097801972759181e+19,6.332392790402577e+17,1840015764195404.8,1.5266726614691075e+18,1.2813378555435356e+16,0.6957245489559244,0.8043779294162714,1774.8911089653122,47790718.0
0x47ff79b11cb1470329567360a9e065587d956ba3,2,5,2.5e+17,8.666e+17,1.25e+17,1.7332e+17,0.0,5.336e+16,0.0,0.12314793445649666,1267742.7142857143,8874199.0
0xe98945936dd2f04294afd798ed7036a8e9ba6acc,20,285,4.2379e+18,7.331661742003224e+19,2.11895e+17,2.5725128919309558e+17,1.057303621246045e+17,7.543718591656923e+17,0.27619221784374337,0.8672906324709145,114392.27540983606,34889644.0
0x39b5b0dd442703ea6d95bc52a73a42c20852c69a,190154,138,4.08836736523528e+24,5.9402795000599994e+19,2.150029641887775e+19,4.304550362362319e+17,2.2957273540834017e+20,1.8481730993041984e+18,0.9376984047280128,0.9448480724644633,321.18154730624514,61118279.0
0xdf6164efd12678bf6a7d5a1ddf73c831493f6574,3,1568,3.31e+16,7.867210044359746e+19,1.1033333333333334e+16,5.017353344617185e+16,857645355351240.5,3.368814165413076e+17,0.04229607250755287,0.851024282519047,6390.114576702737,10038870.0
0xd2584e838896792d9abea79c06ee9d6ab7f100db,104,28,8.22e+18,1.8115477752445156e+18,7.903846153846154e+16,6.469813483016127e+16,9.33512724025313e+16,1.9416058448974435e+17,0.3433230394909227,0.87209120017164,95128.06060606061,12556904.0
0x2d7fa17311bda16df5cf63e24a3d69ed02f804be,19,11,1.7126e+18,9.4117984e+17,9.013684210526315e+16,8.556180363636363e+16,2.278889277246733e+17,1.4466008597225952e+17,0.8225167028279563,0.564341663293209,1284269.2,38528076.0
0xf2637bbf885487be33aa264f2e5224e14aa47b53,1,3,206000000000000.0,5.025e+19,206000000000000.0,1.675e+19,0.0,2.3318695253399953e+19,0.0,0.656420895522388,22008609.75,88034439.0
