address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime
0x017d4abee6a74ac4f0ba5a6fd95527827e69fec2,25,58,2.4E+21,2E+21,9.6E+19,3.44828E+19,1.95959E+19,2.83269E+19,0.039999996,0.392241379,836181,69403027
0x020e13faf0955efef0ac9cd4d2c64c513ffcbdec,1008,1000,4.69895E+20,3.60687E+19,4.66166E+17,3.60687E+16,1.25671E+18,1.06069E+17,0.783180725,0.766381638,2200,4418365
0x0217495d71d7246205bc1b1039dad814d0c0c192,149,711,8.6295E+19,8.05928E+19,5.79161E+17,1.13351E+17,1.05538E+18,3.55827E+17,0.727110047,0.869499263,17,14718
0x020e0638aa7d98b40d2a3a7ebd37ebdfc5cba2fd,731,474,3.30158E+19,2.17438E+19,4.51652E+16,4.58729E+16,7.44781E+16,9.80651E+16,0.632460175,0.675928263,2707,3262369
0x020522bf9b8ed6ff41e2fa6765a17e20e2767d64,25,58,2.4E+21,2E+21,9.6E+19,3.44828E+19,1.95959E+19,2.83269E+19,0.039999996,0.392241379,836181,69403027
